feature,importance
emb_71,0.08998364556745786
emb_461,0.05276346389723549
emb_159,0.03616762725392944
emb_0,0.030703191856676762
emb_1418,0.02712337527361528
emb_53,0.025689692408274983
emb_463,0.021731920890907835
emb_702,0.019295453207698945
emb_1001,0.016727830385747343
emb_930,0.013441993392424786
emb_821,0.01211971795415043
emb_1313,0.011952482058686091
emb_23,0.010170333099668534
emb_844,0.009273174677362722
emb_75,0.008482785862661107
emb_1180,0.00781169786808798
emb_726,0.007324382150410031
emb_745,0.007309714427716372
emb_873,0.007291289919911634
emb_39,0.0068014424639823755
emb_816,0.006403222446075438
emb_502,0.005853106722345983
emb_1089,0.005811957163584838
emb_334,0.005804700926300567
emb_200,0.005801033043085863
emb_1319,0.005612218610535068
LING_query_type_present,0.005195450933842506
TXT_special_char_count,0.005024125401040169
emb_1351,0.005014756493941691
TXT_avg_word_length,0.00477345962549207
COMP_search_space_size_medium,0.0047130797691212626
SEM_domain_secondary_2,0.004448177099864814
emb_222,0.004347883899186382
emb_170,0.004186942964726392
COMP_reasoning_depth,0.004160464492683037
emb_561,0.003920295509425789
emb_1400,0.0039162495633971
TXT_word_count,0.0038352868892384795
emb_798,0.0038295535371042706
emb_1140,0.003812620059125279
TEMP_recency_requirement,0.0038037937613192695
emb_693,0.0035233333152671995
emb_1222,0.003464611661700701
emb_59,0.003347240575582536
emb_1230,0.003334093188183312
emb_876,0.003246101780721679
LING_has_conditional,0.003209141488285284
emb_1111,0.0031647685015982322
INTENT_consequence_severity_4,0.0031545886513653764
LING_tense_should,0.003134610125150739
INFO_recall_requirement,0.0031302164904575096
emb_100,0.0030442251530247216
emb_1431,0.0030324404468834937
emb_1435,0.0030258903938860616
emb_1247,0.0029939030629321656
emb_988,0.002934095130665121
SEM_entity_types_2,0.002913099212164794
emb_1063,0.00281830620976337
emb_922,0.002817575493738571
emb_925,0.0028022683789751274
TXT_char_count,0.0027613080177690892
LING_modality_0,0.002673056522146601
emb_260,0.0026252913254253083
emb_1031,0.002514024283922017
emb_1085,0.0024643199139287833
emb_118,0.0024587336718815034
emb_543,0.0024550140945460383
emb_83,0.002364972940505791
emb_1337,0.002313824699908427
emb_1154,0.002292662198240772
emb_198,0.0022249935735498454
emb_1340,0.002208870104902893
emb_625,0.002190526352575634
COMP_index_complexity,0.0021766023806324176
emb_341,0.002174482499556773
TEMP_reference_type_8,0.0021723704752970702
emb_672,0.0021392248494397554
emb_964,0.0021258849688095666
emb_548,0.002119997130042773
emb_1071,0.0021174278416609855
emb_351,0.0020744824657422125
TXT_text_density_interrogative,0.0020138295610618666
emb_1404,0.0019366170759277
emb_442,0.0019176798900631597
emb_808,0.0018984826653525198
SEM_domain_secondary_none,0.0018774841667456637
INFO_density_score_0.67,0.0018756970441497483
emb_1036,0.0018415701946742139
emb_30,0.0018244656302957654
emb_1403,0.0018059356891564605
emb_708,0.0017172947110236094
emb_1530,0.0016743205250072492
emb_1100,0.0016285856464782137
emb_605,0.0016252642981570533
emb_739,0.0015979815403027798
emb_1308,0.0015194327774113623
emb_540,0.001504964551155271
emb_780,0.0014988675698527475
emb_123,0.00148700226766149
emb_481,0.0014852049923023286
emb_980,0.0014838490204698146
emb_279,0.0014830237904121543
emb_225,0.001465405785765448
emb_1281,0.001435184163162066
emb_265,0.0014233917030793159
emb_261,0.0014042917556131174
emb_519,0.0013767257312746494
emb_545,0.0013749881457708918
emb_1355,0.0013564176600049582
emb_255,0.0013447478672402842
emb_612,0.0013417694165388473
emb_26,0.001330504774586774
emb_490,0.001308987504378004
TEMP_realtime_need_3,0.0012986639453622674
emb_713,0.0012907241624908045
emb_701,0.0012883312061095996
emb_147,0.0012682127519471325
emb_943,0.0012668368828466817
LING_query_type_declarative,0.001246642229341507
emb_581,0.0012118168196196873
emb_363,0.0011924658531685495
emb_856,0.0011856836474449248
emb_559,0.0011758664962611208
emb_677,0.001133534209052602
emb_1173,0.0011280309211751415
emb_1008,0.001127336357868936
TEMP_range_specificity_1,0.0011111282217514645
emb_734,0.0011043817834230643
emb_459,0.0011041301166530312
emb_1176,0.0011040688996105635
emb_98,0.0010719987502694397
emb_782,0.0010675845430701341
emb_584,0.0010658958572923325
emb_604,0.00105403273298371
emb_711,0.0010476135407987868
emb_396,0.0010421957614849414
emb_1155,0.0010364990819591107
emb_650,0.0010214628932756651
emb_1167,0.0010202831832271163
emb_336,0.0010086254340489341
emb_1207,0.00099063348461667
emb_750,0.0009859159344908748
emb_419,0.0009824962486024952
emb_944,0.000981900588615705
emb_529,0.0009790409261578724
emb_968,0.0009767935940738451
emb_1177,0.0009609785891350645
emb_425,0.000954316195930902
emb_122,0.0009536426028937563
TASK_expected_result_count_absolute,0.0009522570323919223
emb_536,0.0009485848483548818
emb_957,0.0009413865949996758
emb_557,0.0009411178180411638
emb_145,0.0009397556579121998
emb_1332,0.0009368844115885071
emb_546,0.0009257415549468781
TASK_external_dependency_0,0.000922521411432529
emb_710,0.0009177122857695095
emb_1088,0.0009175532960271933
emb_263,0.0009154210605245507
emb_1305,0.0009097921751860873
emb_1484,0.0009084608331045985
emb_1360,0.0009044087212485037
emb_522,0.0009009374461954833
emb_1116,0.0008986975606252862
emb_1211,0.0008976013484813781
emb_27,0.0008946373944905836
emb_1093,0.0008920754913971328
emb_906,0.0008887467426390558
emb_986,0.0008833630004857634
emb_1414,0.0008787587535896872
emb_1306,0.0008759361911489756
emb_674,0.0008750985457431655
emb_203,0.0008702780040154728
emb_1304,0.0008682668773131482
emb_1150,0.0008624009129542704
emb_428,0.0008622626560401226
emb_685,0.0008506960120287541
emb_657,0.0008454069715761398
emb_331,0.0008424933229903637
emb_465,0.0008412014705253924
